top_level_category,subcategory,category_id,open_lot_count,search_url
Commercial & Industrial,Office Equipment,18,489,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=18&search=Search
Commercial & Industrial,Office Supplies,83,135,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=83&search=Search
Commercial & Industrial,No Lots Currently Assigned Here,130,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=130&search=Search
Commercial & Industrial,Party/Banquet Supplies,92,28,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=92&search=Search
Commercial & Industrial,Plumbing Equipment,23,17,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=23&search=Search
Commercial & Industrial,Printing Equipment,21,4,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=21&search=Search
Commercial & Industrial,Restaurant Equipment,13,68,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=13&search=Search
Commercial & Industrial,Retail/Store Fixtures,96,6,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=96&search=Search
Commercial & Industrial,Shipping Supplies,119,7,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=119&search=Search
Commercial & Industrial,Signage/Advertising,98,21,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=98&search=Search
Commercial & Industrial,Snow Removal & Equipment,110,19,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=110&search=Search
Commercial & Industrial,Storage/Buildings,95,76,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=95&search=Search
Commercial & Industrial,No Lots Currently Assigned Here,131,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=131&search=Search
Commercial & Industrial,Woodworking Equipment,16,55,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=16&search=Search
Farm Equipment,Equine/Livestock Equipment & Supplies,89,7,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=89&search=Search
Farm Equipment,Farm Attachments,32,79,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=32&search=Search
Farm Equipment,No Lots Currently Assigned Here,30,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=30&search=Search
Farm Equipment,Farm Supplies,31,15,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=31&search=Search
Farm Equipment,Tractors,29,3,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=29&search=Search
Heavy Equipment & Construction,Construction Attachments,138,185,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=138&search=Search
Heavy Equipment & Construction,Construction Equipment,26,65,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=26&search=Search
Heavy Equipment & Construction,Construction Material/Supplies,25,31,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=25&search=Search
Heavy Equipment & Construction,Flooring/Windows/Doors,114,32,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=114&search=Search
Heavy Equipment & Construction,Heavy Equipment,27,144,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=27&search=Search
Heavy Equipment & Construction,Home Building Supplies/Material/Lumber,101,22,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=101&search=Search
Heavy Equipment & Construction,Landscape Nursery Product/Stock,124,295,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=124&search=Search
Heavy Equipment & Construction,Landscaping Equipment,28,10,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=28&search=Search
Heavy Equipment & Construction,Lift Equipment,133,9,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=133&search=Search
Household & Estate,Antiques/Vintage,42,2414,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=42&search=Search
Household & Estate,Artwork,80,437,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=80&search=Search
Household & Estate,Books/Magazines,78,220,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=78&search=Search
Household & Estate,Children/Baby Items,129,79,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=129&search=Search
Household & Estate,"Clothing, Shoes & Accessories",33,990,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=33&search=Search
Household & Estate,Collectibles,43,1764,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=43&search=Search
Household & Estate,Educational Items,125,59,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=125&search=Search
Household & Estate,Electronics,40,374,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=40&search=Search
Household & Estate,Entertainment/TV/Movies/Memorabilia,115,127,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=115&search=Search
Household & Estate,Food Items,85,694,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=85&search=Search
Household & Estate,Furniture/Bathroom,77,20,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=77&search=Search
Household & Estate,Furniture/Bedroom,38,431,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=38&search=Search
Household & Estate,Furniture/Dining,90,61,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=90&search=Search
Household & Estate,Furniture/Kitchen,36,140,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=36&search=Search
Household & Estate,Furniture/Living Room,37,257,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=37&search=Search
Household & Estate,Furniture/Vintage & Antique,81,279,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=81&search=Search
Household & Estate,Games/Toys,44,520,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=44&search=Search
Household & Estate,Garage Items,47,687,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=47&search=Search
Household & Estate,No Lots Currently Assigned Here,107,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=107&search=Search
Household & Estate,Hand Tools/Hardware,45,1080,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=45&search=Search
Household & Estate,Health/Beauty,105,206,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=105&search=Search
Household & Estate,Holiday/Seasonal,50,233,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=50&search=Search
Household & Estate,Home Decor,39,696,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=39&search=Search
Household & Estate,Home Improvement Items,134,645,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=134&search=Search
Household & Estate,Home Office,97,160,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=97&search=Search
Household & Estate,Jewelry,79,1097,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=79&search=Search
Household & Estate,Lamps/Lighting,91,335,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=91&search=Search
Household & Estate,Lawn Care,41,216,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=41&search=Search
Household & Estate,Luggage,109,26,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=109&search=Search
Household & Estate,Major Appliances,34,90,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=34&search=Search
Household & Estate,Outdoor/Patio,48,503,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=48&search=Search
Household & Estate,Pet Supplies,49,74,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=49&search=Search
Household & Estate,Power Tools/Shop Equipment,46,389,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=46&search=Search
Household & Estate,Rugs,132,112,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=132&search=Search
Household & Estate,Small Housewares,35,4100,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=35&search=Search
Real Estate,Commercial Property,60,1,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=60&search=Search
Real Estate,Land/Lots,62,1,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=62&search=Search
Real Estate,No Lots Currently Assigned Here,61,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=61&search=Search
Real Estate,No Lots Currently Assigned Here,99,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=99&search=Search
Real Estate,Vacation Rentals,59,10,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=59&search=Search
Sporting Goods & Hobbies,Bicycles/Cycling & Accessories,102,25,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=102&search=Search
Sporting Goods & Hobbies,Camera Equipment,56,67,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=56&search=Search
Sporting Goods & Hobbies,Camping Equipment & Accessories,137,126,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=137&search=Search
Sporting Goods & Hobbies,Comic Books,113,47,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=113&search=Search
Sporting Goods & Hobbies,Craft Supplies/Tools,116,88,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=116&search=Search
Sporting Goods & Hobbies,Exercise/Fitness,51,101,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=51&search=Search
Sporting Goods & Hobbies,Firearms,121,53,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=121&search=Search
Sporting Goods & Hobbies,Firearms: Accessories/Parts,123,30,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=123&search=Search
Sporting Goods & Hobbies,Firearms: Ammo,122,49,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=122&search=Search
Sporting Goods & Hobbies,Fishing Equipment & Accessories,136,163,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=136&search=Search
Sporting Goods & Hobbies,Hobbies/Music,57,129,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=57&search=Search
Sporting Goods & Hobbies,Hunting Equipment & Accessories,53,244,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=53&search=Search
Sporting Goods & Hobbies,Memorabilia,55,338,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=55&search=Search
Sporting Goods & Hobbies,Military Artifacts,58,27,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=58&search=Search
Sporting Goods & Hobbies,Outdoor & Sporting Apparel,135,34,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=135&search=Search
Sporting Goods & Hobbies,Sewing Equipment/Supplies,84,63,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=84&search=Search
Sporting Goods & Hobbies,Sporting Goods,54,235,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=54&search=Search
Sporting Goods & Hobbies,Trading Cards,112,1770,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=112&search=Search
Technology,Electronics,104,153,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=104&search=Search
Vehicles & Marine,ATV/Dirtbikes/Snowmobiles,70,36,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=70&search=Search
Vehicles & Marine,Automotive Accessories & Parts,72,379,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=72&search=Search
Vehicles & Marine,No Lots Currently Assigned Here,75,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=75&search=Search
Vehicles & Marine,Boats/Boat Trailers,68,13,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=68&search=Search
Vehicles & Marine,No Lots Currently Assigned Here,118,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=118&search=Search
Vehicles & Marine,Cars/Trucks/Motorcycles,64,92,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=64&search=Search
Vehicles & Marine,Collector Vehicles,65,2,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=65&search=Search
Vehicles & Marine,Commercial Vehicles,63,1,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=63&search=Search
Vehicles & Marine,Marine Accessories & Parts,73,35,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=73&search=Search
Vehicles & Marine,Recreational Accessories & Parts,74,40,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=74&search=Search
Vehicles & Marine,Recreational Marine,69,31,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=69&search=Search
Vehicles & Marine,RV/Campers,67,5,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=67&search=Search
Vehicles & Marine,Trailers,66,11,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=66&search=Search
